Model,Test accuracy,Precision,Recall,F1,ROC-AUC
Random Forest,0.7395833333333334,0.7625570776255708,0.6958333333333333,0.7276688453159041,0.8044895833333334
Logistic Regression,0.7383333333333333,0.7653061224489796,0.6875,0.7243195785776997,0.8021833333333332
SVM,0.7366666666666667,0.7610294117647058,0.69,0.7237762237762237,0.7976125
KNN,0.7266666666666667,0.7459312839059674,0.6875,0.7155247181266262,0.7860354166666668
Decision Tree,0.7145833333333333,0.7492739593417231,0.645,0.6932377966860725,0.7778625000000001
